date,p_structural,p_shock,tactical_level,risk_regime,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-05-13,0.0406224596102917,0.0031202814712266,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.039685821211753,0.0501790645673612,0.0139360027969126,0.8080589669379206
2025-05-12,0.0456191199130638,0.0031202814712266,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0459860406625799,0.0345690593453091,0.0140190791477592,0.8084846283210997
2025-05-09,0.453784736106106,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0765051402996226,-0.0042698884062976,0.0123463882306857,0.8089724392823829
2025-05-08,0.4466485180970603,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0753270857047059,0.0118000545696577,0.0127443066442564,0.8091196343800787
2025-05-07,0.4968403346840893,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0817253336444453,0.0119198742508999,0.0165665905158942,0.80887514742173
2025-05-06,0.5319319049685293,0.0033777253253566,2,NORMAL,0.6,1.0,0.8,0.48,REDUCE_TO_35_60,0.0855710124217107,0.0080819061863135,0.0285283399529746,0.8082963016113499
2025-05-05,0.4703864366213683,0.0033777253253566,2,NORMAL,0.8,1.0,0.8,0.6400000000000001,LIGHT_REDUCE,0.077863434325849,0.0229827028702924,0.0287716226121721,0.8081066023987861
2025-05-02,0.430566213950619,0.0033777253253566,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.072545010994706,0.0292750383310353,0.0287007114031835,0.8081470397770313
2025-05-01,0.5390958149893922,0.0033777253253566,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.0861110254747128,0.0215478378735709,0.0320270641883364,0.808340034058573
2025-04-30,0.5819748630786107,0.0033884086021418,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.0925421174919295,0.0357103432796142,0.0340172979506269,0.8078188967505008
2025-04-29,0.5851812314706806,0.0033884086021418,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.0929020926110295,0.0513418971277397,0.0340500212735447,0.8069660204398904
2025-04-28,0.5980620816342089,0.0033884086021418,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.0985804910612727,0.0719428067586545,0.0340247387340829,0.8059635790047274
2025-04-25,0.594058655177895,0.0033884086021418,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.0989240441416341,0.0460288887831088,0.0340601639500724,0.804683343959085
2025-04-24,0.6048544664731126,0.0033884086021418,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.1053879802363282,0.0385251219293403,0.0343069931308005,0.8032694522724961
2025-04-23,0.6403705600400178,0.0033884086021418,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.1238304334833884,0.0185671049045468,0.0339019866136209,0.8017727145068628
2025-04-22,0.8414982201604158,0.003678525815084,1,STRUCT_RISK,0.3,1.0,0.9,0.27,REDUCE_TO_15_35,0.1371998872420505,-0.0192703862906693,0.0336912964539999,0.7999564675772559
2025-04-21,0.7633055505599801,0.0029121121055473,3,STRUCT_RISK,0.3,1.0,0.7,0.21,REDUCE_TO_15_35,0.159078727656708,-0.0468169907277665,0.0329965253390798,0.7980676619518908
2025-04-17,0.6644022236036607,0.0033884086021418,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.1385745025583118,0.003488403753951,0.0330665856461871,0.7945660838603144
2025-04-16,0.7289624267898561,0.0030561930328934,3,STRUCT_RISK,0.3,1.0,0.7,0.21,REDUCE_TO_15_35,0.1398018232694445,-0.0418505828815596,0.0330508206197115,0.7922763454775043
2025-04-15,0.6372134103254156,0.0033884086021418,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.1202467013363106,0.0828430947036866,0.0328729717111196,0.7899193190949555
2025-04-14,0.6265446828461972,0.0033884086021418,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.1177756378753065,0.0688765640760573,0.0329386382265302,0.7870590255922059
2025-04-11,0.6356449845450624,0.0129748138969069,1,NORMAL,0.6,1.0,0.9,0.54,REDUCE_TO_35_60,0.1262522308281765,0.0567210360819123,0.0329048068245785,0.7838591295761532
2025-04-10,0.5352107003084642,0.003678525815084,2,NORMAL,0.6,1.0,0.8,0.48,REDUCE_TO_35_60,0.1415690562848753,-0.0225823714134129,0.032999855791949,0.780398630652524
2025-04-09,0.5312592217520361,0.0139769333107345,2,NORMAL,0.6,1.0,0.8,0.48,REDUCE_TO_35_60,0.1022296091171934,-0.0281654657859977,0.0316343672051212,0.7770602601285751
2025-04-08,0.7835158690646272,0.0033275135266305,3,STRUCT_RISK,0.3,1.0,0.7,0.21,REDUCE_TO_15_35,0.1875523767324495,-0.1149615950336615,0.0198064418876879,0.7727713899242893
2025-04-07,0.7625685886890071,0.0033275135266305,3,STRUCT_RISK,0.3,1.0,0.7,0.21,REDUCE_TO_15_35,0.1746246556661171,-0.0983391551629675,0.0196717347366491,0.7736612897716469
2025-04-04,0.7663704705758612,0.0033468980335737,3,STRUCT_RISK,0.3,1.0,0.7,0.21,REDUCE_TO_15_35,0.1731519111122395,-0.090666949278553,0.0202391896347473,0.7758814426591314
2025-04-03,0.676577321073899,0.0027138351979545,3,NORMAL,0.6,1.0,0.7,0.42,REDUCE_TO_35_60,0.1217357671802231,-0.0535727313864644,0.0161786956066608,0.7823883600116547
2025-04-02,0.463828117926684,0.0033275926278912,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0762106518380694,-0.0071581469940882,0.0125594757859892,0.7804063841244505
2025-04-01,0.4390539610907729,0.0033275926278912,2,NORMAL,0.8,1.0,0.8,0.6400000000000001,LIGHT_REDUCE,0.0820199228547023,-0.0251799065298076,0.0127399865482613,0.7751295045488671
2025-03-31,0.4543583008684493,0.0033275926278912,2,NORMAL,0.8,1.0,0.8,0.6400000000000001,LIGHT_REDUCE,0.0846055375920616,-0.0255888720086669,0.0129187017498036,0.7696929132999522
2025-03-28,0.6976133091211875,0.0033275926278912,2,NORMAL,0.6,1.0,0.8,0.48,REDUCE_TO_35_60,0.0907092970702478,-0.0147521890522878,0.0132015599658113,0.7634317283866535
2025-03-27,0.3976421542705718,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0720214199804426,0.0058283686148032,0.013194865722876,0.7574489645398514
2025-03-26,0.3818859267263413,0.0031202814712266,2,NORMAL,0.8,1.0,0.8,0.6400000000000001,LIGHT_REDUCE,0.0695503565194385,0.0055904785797225,0.013594842921764,0.7522811844671805
2025-03-25,0.322973893202158,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0583082116440113,0.0288245630410528,0.0133989732014337,0.7486012952478368
2025-03-24,0.3325206362154322,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0605664938423399,0.0152639282569566,0.0133911808004354,0.7489774599905683
2025-03-21,0.4263739101589376,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0770944194688407,0.0050932346110417,0.0125737022450348,0.7498269069680451
2025-03-20,0.4296687609379859,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.077398680554674,0.0255159131356776,0.012939852945942,0.7496325213259001
2025-03-19,0.410644858535794,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0747230972247157,0.0147797054843137,0.0129386238228499,0.7495819520411241
2025-03-18,0.4763142096279391,0.0031202814712266,2,NORMAL,0.8,1.0,0.8,0.6400000000000001,LIGHT_REDUCE,0.0846915769852079,0.0091740326965639,0.0125640269063708,0.7483236367402752
2025-03-17,0.4025107053577739,0.0031202814712266,1,NORMAL,0.8,1.0,0.9,0.7200000000000001,LIGHT_REDUCE,0.0746903538959422,0.0117199496802138,0.0125607332637981,0.7466855481149369
2025-03-14,0.4018591105296661,0.0033275926278912,2,NORMAL,0.8,1.0,0.8,0.6400000000000001,LIGHT_REDUCE,0.0817711743047281,-0.0227635628593044,0.012313242650722,0.7453142467536118
2025-03-13,0.5925407858997256,0.0033275926278912,3,NORMAL,0.6,1.0,0.7,0.42,REDUCE_TO_35_60,0.1003539704963465,-0.0371740614187271,0.0109309887600129,0.7442384428060842
2025-03-12,0.5615557020880247,0.0033275926278912,3,NORMAL,0.6,1.0,0.7,0.42,REDUCE_TO_35_60,0.0881992438608273,-0.041487925832474,0.0112677101885157,0.7445581937971177
2025-03-11,0.5793858564205697,0.0033275926278912,3,NORMAL,0.6,1.0,0.7,0.42,REDUCE_TO_35_60,0.0930123116931161,-0.0363000885824927,0.0110660259887888,0.7443217209192601
2025-03-10,0.543137770202616,0.0033275926278912,3,NORMAL,0.6,1.0,0.7,0.42,REDUCE_TO_35_60,0.0854093107519218,-0.0397244441567194,0.0110740175275681,0.7440503129328396
2025-03-07,0.1397695017050205,0.0033275926278912,3,NORMAL,1.0,1.0,0.7,0.7,LIGHT_REDUCE,0.0603821237141695,-0.0307314905386085,0.0098955553530937,0.7433982940313223
2025-03-06,0.1150235706737416,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0656192428412504,-0.0210922249705041,0.0098437745729093,0.7422429035486533
2025-03-05,0.0230877687778259,0.0033275926278912,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0487331555723201,-0.0193089236675155,0.0092749395920348,0.7413170227045237
2025-03-04,0.130738799343947,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0588484261944212,-0.0292474590108057,0.0089143920214185,0.7419078459114546
2025-03-03,0.010912921066986,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0475747469746675,-0.0225045336020096,0.008809384035873,0.7417767843843064
2025-02-28,0.011978094547216,0.0033275926278912,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0305907319655286,-0.0096010129970894,0.0080517244883428,0.7421197364580453
2025-02-27,0.0169248165587057,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.045486427839849,-0.0414987588513284,0.0071422771967098,0.7469651232523389
2025-02-26,0.010756459386835,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0300035685190928,-0.0300035685190928,0.0064525579971109,0.7488262385716183
2025-02-25,0.0102133773252172,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.03049280422532,-0.0282097199588744,0.0065042943197373,0.7532882021186513
2025-02-24,0.0166116984949207,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0256473960590734,-0.0204854893142458,0.0067528461010382,0.7577694049733747
