date,p_lead5,p_lead10,srs,srs_accel,sentiment_signal,vol20,vol60,hurst_100,drawdown_252,ret5d,ret20d,external_event,is_trading_day,lead5_slope_5d,trend_score,trend_score_slope_5d,mode,active_track,switch_reason,action,reference_prob,execution_signal,warning_level,signal_stage,prewarning_type,warning_source,warning_sources,portfolio_state,cooldown_left,normal_streak,is_new_warning,short_early_streak,short_streak,watch_streak,short_trend_streak,dd_expand_streak
2017-07-27,0.0,0.0,-1.0778554624494496,0.2831298000556737,0,0.0034683457306644004,0.004474484069483963,0.8184876787040943,0.0009297530066992854,0.00040439923038326775,0.02423848927003336,0,1,0.0,0.006139328667132648,-0.007823210381292743,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-26,0.0,0.0,-1.3289574881736879,0.14559368693968233,0,0.0041088696850897855,0.0044699752721944885,0.8185181699246513,0.0,0.0017814360715102673,0.016181409195242136,0,1,-0.00555555555555554,0.027733382549928274,-0.004559474491090758,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-25,0.0,0.0,-1.550840614479897,-0.20346897803638853,0,0.004486607498016083,0.004476072287459516,0.8185999914295707,0.0,0.007164109628500226,0.025235075237101334,0,1,-0.00555555555555554,0.0011207966738504445,-0.007474842959426148,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-24,0.0,0.0,-1.376597928972439,-0.24136090241887653,0,0.0049327433464977114,0.004470338843737101,0.8187278141370956,0.0011334062316776805,0.005253892747100197,0.014509651351174657,0,1,-0.00555555555555554,0.04925636021320462,-0.0023873080261693656,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-21,0.0,0.0,-1.470674818450144,-0.4947058377178306,0,0.004927480490609901,0.00447521198158755,0.818510056006806,0.0008905688049738458,0.005375502526563158,0.015423730968414207,0,1,-0.01680672268907562,0.0829137972360107,0.0018727774788295265,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-20,0.0,0.0,-1.6456850254906839,-0.8557562240251091,0,0.004912372599290529,0.0044860363102656375,0.8181282309740925,0.0,0.010964909773705456,0.01754269640417827,0,1,-0.01680672268907562,0.04525538057359636,-0.003418400344164979,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-19,0.0277777777777777,0.0833333333333333,-0.6930597948243782,-0.20064494564366236,0,0.004920665009235036,0.004485983069460753,0.817830351848081,0.0,0.012212971550636276,0.016629261813509766,0,1,-0.01125116713352008,0.050530755005382066,-0.0005136358302890124,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0277777777777777,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-18,0.0277777777777777,0.0833333333333333,-0.4901675650301672,-0.17257754757764115,0,0.004804955874802021,0.004445577504997029,0.8170515956222124,0.0,0.014327423182338261,0.010904923845049153,0,1,-0.01125116713352008,0.03849501147098118,0.0004464384087243548,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0277777777777777,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-17,0.0277777777777777,0.0833333333333333,-0.5802576998661931,-0.5016451912439115,0,0.005074543360969563,0.0044966951435909475,0.8164003867505952,0.0001221090921349477,0.013037978368317438,0.0035560460742054545,0,1,-0.01125116713352008,0.06119290034405145,0.0036126699699148375,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0277777777777777,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-14,0.0840336134453781,0.1182795698924731,-0.5404739221164516,-0.7303945201689293,0,0.005389008057001285,0.0046886139632766645,0.8156110790384182,0.0,0.014249936218054149,0.01203426545558206,0,1,0.0,0.07354990984186306,0.008500471237539612,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-13,0.0840336134453781,0.1182795698924731,-0.1581152640663893,-0.6268583421703029,0,0.0053040983212375515,0.004690034443366894,0.8147545003417108,0.0009808231619594654,0.016088129814349372,0.00755606578350676,0,1,0.0,0.06234738229442126,-0.0214069359437378,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-12,0.0840336134453781,0.1182795698924731,0.18106436381657087,-0.5774647157453076,0,0.005319157535147597,0.004785533415323882,0.8134820598107055,0.0026568808481518547,0.005107529530939958,0.003930091815905978,0,1,0.01125116713352008,0.05309893415682713,0.010619786831365425,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
