date,p_structural,p_shock,early_score_raw,early_score,early_score_q20_thr,early_score_q10_thr,early_struct_level,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,ibb_risk_score,ibb_risk_weight,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,recovery_floor,base_allocation,shock_modifier,tactical_multiplier,tactical_gate_on,early_struct_multiplier,final_allocation,allocation_action,guardrail_applied,guardrail_cap,guardrail_reasons,drawdown_252,ret5d,vol20,hurst_100
2026-01-15,0.005923577282800398,0.022185426755103432,-0.5813345816386783,0.3586255642963992,0.6622581789796397,0.8215624690936331,0,0,LOW,0.11222458154241563,0.059177390232440175,0.084620351740455,0.41671013198303414,0.0,0.1520892091893057,NEUTRAL,1.0,0.0,0.05,0.011615224598106459,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.004200447412050834,0.003959305057337659,0.0043786055711263535,0.7810099300980009
2026-01-14,0.004792215624828772,0.022185426755103432,-0.5283610977612953,0.37089921700862033,0.6626283103572581,0.8215899202043208,0,0,LOW,0.13156651439773778,0.08714429596254511,0.141488048064132,0.19462567891638416,0.032268481827658214,0.17034205305537697,NEUTRAL,1.0,0.0,0.05,0.010879839520424903,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0069048679130016,0.0011310772388828383,0.004588689055049674,0.7826619087911894
2026-01-13,0.004099372684537702,0.022185426755103432,-0.5040188130396526,0.37659669865223644,0.6629984417348765,0.8216173713150088,0,0,LOW,0.14851109372164395,0.12568640511696427,0.1702463216052695,0.07795015843425637,0.0546360279152096,0.1761550696425916,NEUTRAL,1.0,0.0,0.05,0.010429491609235706,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.001999473023445053,0.002833179600718605,0.005201309642463045,0.7839642321781942
2026-01-12,0.005168247254463394,0.021938184981234662,-0.6046462622131588,0.3532814230133965,0.6630236297628926,0.8216947185636452,0,0,LOW,0.22365027333657037,0.24870611143533972,0.18852032093674045,0.009264013966337744,0.3134096353403856,0.3339478344361809,BULL,0.6,0.007469337548890507,0.05,0.006996102152744528,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0,0.010818360318662235,0.00522789535587772,0.7852579149741394
2026-01-09,0.006370751875961766,0.022899259712113203,-0.6369026374270119,0.34594703764373574,0.6630488177909086,0.8217720658122822,0,0,LOW,0.1068956288026105,0.05152115428081365,0.06624007251972451,0.5065207616221818,0.0,0.13984454460353007,BULL,0.6,0.0,0.05,0.007293437771168861,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0,0.015955069289828483,0.005262006012087135,0.7865057544005787
2026-01-08,0.006759596780292642,0.024643275020399407,-0.4958661498563367,0.3785126295777323,0.6630740058189247,0.8218494130609194,0,0,LOW,0.12219459291311709,0.0750927384349637,0.070767286358909,0.4941574071362032,0.04874625322245904,0.18085741415848672,BULL,0.6,0.0,0.05,0.007811330498598005,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0033245946156971184,0.011130377530627067,0.005710338498720541,0.7877049636529804
2026-01-07,0.007261829602032492,0.023765849741159945,-0.45373342670004463,0.3884734779385976,0.6630991938469408,0.8219267603095558,0,0,LOW,0.10471333917786046,0.04920706575769991,0.04639415974767948,0.5969074040132092,0.0,0.15043410328312018,BULL,0.6,0.0,0.05,0.007822941990436259,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0032234001772446508,0.011233039611183715,0.005729650785279614,0.7877225042497523
2026-01-06,0.00458268102621777,0.021744215007978393,-0.3391469441967436,0.4160167093889047,0.6631243818749569,0.8220041075581929,0,0,LOW,0.21887694178724454,0.24389727584509308,0.2018538258363165,-0.040923846587968674,0.2573243678267751,0.3156410375606402,BULL,0.6,0.0,0.05,0.006353530751900393,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0,0.006986779995543646,0.005832733862038517,0.7884637521985135
2026-01-05,0.005297431785868812,0.02272245746977655,-0.21304365560417513,0.4469396247026024,0.663149569902973,0.8220814548068293,0,0,LOW,0.1234339511192976,0.07564904232091296,0.1128014630814965,0.3178379739890704,0.009956693507830593,0.17983801269432473,NEUTRAL,1.0,0.08279886104993062,0.05,0.01553613382773305,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.003853000030235587,-0.00018900179897773928,0.005714128559528499,0.7893548795736078
2026-01-02,0.007378530046404495,0.026516065128298277,-0.1363778982101151,0.4659582707476709,0.6631864874119155,0.8221588020554664,0,1,LOW,0.27785696105376834,0.31572917018787067,0.21330404278823947,-0.08057755786773949,0.3881253666130751,0.4276726397937185,NEUTRAL,1.0,0.0051299586317090345,0.05,0.01433316525665277,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.9,1,1.0,0.9,LIGHT_REDUCE,0,,,0.01044355560946486,-0.010343200408062247,0.005569137817152689,0.7901191833195602
