date,spy_ret1d,strategy_ret1d,final_allocation,applied_allocation,p_structural,p_shock,risk_regime,tactical_gate_on,early_struct_level,split_test_year
2020-08-21,-0.009917319903257948,-0.009917319903257948,1.0,1.0,0.0026985402244475826,4.5353432182361814e-08,LOW,0,0,2020
2020-08-24,-0.011750420273919482,-0.011750420273919482,1.0,1.0,0.002192246892468122,4.5353432448964435e-08,LOW,0,0,2020
2020-08-25,0.007516492977807765,0.007516492977807765,1.0,1.0,0.0024224479321352604,4.5353432182361814e-08,LOW,0,0,2020
2020-08-26,0.003288047126618565,0.003288047126618565,1.0,1.0,0.002999831638490703,4.5353432182361814e-08,LOW,0,0,2020
2020-08-27,-0.008709703051285489,-0.008709703051285489,1.0,1.0,0.003197887805503726,4.5353432182361814e-08,LOW,0,0,2020
2020-08-28,0.012355671655954525,0.012355671655954525,1.0,1.0,0.002922703451383636,4.5353432182361814e-08,LOW,0,0,2020
2020-08-31,0.01349001243171033,0.01349001243171033,1.0,1.0,0.00245039600236752,4.5353432448964435e-08,LOW,0,0,2020
2020-09-01,-0.01090932779430731,-0.01090932779430731,1.0,1.0,0.0026716412761494564,4.5353432182361814e-08,LOW,0,0,2020
2020-09-02,0.0013756292308932938,0.0013756292308932938,1.0,1.0,0.002716484625201863,4.5353432182361814e-08,LOW,0,0,2020
2020-09-03,-0.023701969202978956,-0.023701969202978956,1.0,1.0,0.03025825414180212,4.535343231201164e-08,LOW,0,0,2020
2020-09-04,-0.0037973913884721266,-0.0037973913884721266,1.0,1.0,0.04188915514431418,4.535343218236197e-08,LOW,0,1,2020
2020-09-08,-0.009712090848425503,-0.009712090848425503,1.0,1.0,0.1358041954202935,4.535343076364069e-08,LOW,0,2,2020
2020-09-09,0.018162984388183867,0.018162984388183867,0.3,1.0,0.14897256367725267,4.5353431793029466e-08,LOW,0,2,2020
2020-09-10,-0.011206724019328207,-0.003502017205798462,1.0,0.3,0.1421346887645384,4.535343218236197e-08,LOW,0,1,2020
2020-09-11,0.00031513420182260887,0.00017513420182260888,1.0,1.0,0.12409528013553783,4.535343218236197e-08,LOW,0,1,2020
2020-09-14,0.03757696682467726,0.03757696682467726,1.0,1.0,0.07572445016126904,4.5353432448964594e-08,LOW,0,1,2020
2020-09-15,0.0041583626054502165,0.0041583626054502165,1.0,1.0,0.029255415674406232,4.535343218236197e-08,LOW,0,0,2020
