window_start,window_end,n_days,strategy_cagr,benchmark_cagr,strategy_sharpe,benchmark_sharpe,strategy_calmar,benchmark_calmar,strategy_mdd,benchmark_mdd,cagr_impact,dd_reduction,sharpe_diff,calmar_diff
2018-01-01,2022-12-31,1259,0.0862616406021588,0.09376149941719336,0.6738493844847581,0.5245277200577593,0.4833890261342057,0.2780815755744775,-0.17845179749324624,-0.3371726416016425,0.007499858815034566,0.47074057774805855,0.1493216644269988,0.2053074505597282
2018-02-01,2023-01-31,1258,0.0849360755495987,0.09519011791963905,0.6607102237242471,0.5294339944421681,0.500646778295134,0.28231862901884774,-0.1696526957365706,-0.3371726416016426,0.01025404237004035,0.4968373029001292,0.13127622928207905,0.2183281492762863
2018-03-01,2023-02-28,1258,0.0870818826761317,0.09773223935479503,0.6788088565528545,0.5428104161885008,0.5349502743017257,0.28985815364658835,-0.16278500425072273,-0.33717264160164273,0.01065035667866332,0.5172057748295981,0.1359984403643537,0.24509212065513736
2018-04-01,2023-03-31,1260,0.10212756390941369,0.11175350146561303,0.7813635720006642,0.6026723046951433,0.6273769772559391,0.3314429692004663,-0.16278500425072284,-0.3371726416016424,0.009625937556199338,0.5172057748295973,0.17869126730552087,0.2959340080554728
2018-05-01,2023-04-30,1258,0.10625902396214593,0.1143252179523837,0.8094757044064752,0.6142715216686067,0.652756833783565,0.3390702680066636,-0.16278500425072273,-0.3371726416016426,0.00806619399023778,0.517205774829598,0.19520418273786855,0.31368656577690135
2018-06-01,2023-05-31,1258,0.10538925155903134,0.11000041259855808,0.8011902441486207,0.5956698282549935,0.647413759296341,0.32624358867324577,-0.16278500425072284,-0.33717264160164284,0.0046111610395267455,0.517205774829598,0.20552041589362724,0.3211701706230953
2018-07-01,2023-06-30,1258,0.11416785009512953,0.12275888440795546,0.8584984186100955,0.6487394718017643,0.7013413220746523,0.3640831706416756,-0.1627850042507224,-0.33717264160164284,0.00859103431282593,0.5172057748295993,0.20975894680833118,0.33725815143297666
2018-08-01,2023-07-31,1257,0.11442925549738447,0.12192449749868217,0.8603966955549864,0.645177191706019,0.7029471542792703,0.3616085128363757,-0.16278500425072273,-0.3371726416016423,0.007495242001297697,0.5172057748295975,0.21521950384896749,0.34133864144289466
2018-09-01,2023-08-31,1257,0.10971426969883868,0.11122320919971407,0.8273698809271032,0.5996080033800415,0.6739826570871115,0.3298702073554363,-0.1627850042507225,-0.3371726416016426,0.0015089395008753836,0.5172057748295986,0.22776187754706168,0.34411244973167515
2018-10-01,2023-09-30,1258,0.09925979162891907,0.09906012489397686,0.7568884315987375,0.5477930405342655,0.6097600456860168,0.2937964492712694,-0.16278500425072262,-0.3371726416016425,-0.00019966673494220544,0.5172057748295981,0.20909539106447206,0.3159635964147474
