date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-10-08,0.0075208927128023,0.0031184023975302,0,LOW,0.11133333333333334,0.05,0.2,0.55,0.0,0.0,BULL,0.6,0.0035880126614742393,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0069713055006772,0.0039820279726993,0.8048415238042059
2025-10-07,0.0075944249987204,0.0031184023975302,0,LOW,0.11133333333333334,0.05,0.2,0.6,0.0,0.0,NEUTRAL,1.0,0.00602781708830383,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.003707511977453,0.0044132176544142,0.0038675252004461,0.8057166243298625
2025-10-06,0.0057187059774343,0.0031184023975302,0,LOW,0.10183333333333333,0.0375,0.15,0.65,0.0,0.0,BULL,0.6,0.002885159834680719,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0119484984684592,0.0036639973043104,0.8066440750691452
2025-10-03,0.0056672958660395,0.0031184023975302,0,LOW,0.10183333333333333,0.0375,0.15,0.6,0.0,0.0,BULL,0.6,0.0028651098912367465,1.0,1.0,1.0,1.0,FULL_RISK_ON,1.4818614668121732e-05,0.0111661738033113,0.0036448362942855,0.8078495338722133
2025-10-02,0.005643089532099,0.0031184023975302,0,LOW,0.10183333333333333,0.0375,0.15,0.55,0.0,0.0,BULL,0.6,0.0028556694209999514,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0169742915331709,0.0037755941660339,0.8091380160907866
2025-10-01,0.0056469065069686,0.0032269282809002,0,LOW,0.10183333333333333,0.0375,0.15,0.5,0.0,0.0,BULL,0.6,0.002879948476706796,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0111179632484685,0.0040567399493231,0.8102985307396905
2025-09-30,0.0056879358202898,0.0032269282809002,0,LOW,0.10183333333333333,0.0375,0.15,0.45,0.0,0.0,NEUTRAL,1.0,0.00482658318150344,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0009897810749672,0.0044781161563298,0.0041171497577321,0.8112597426726227
2025-09-29,0.0077122257050481,0.0032269282809002,0,LOW,0.11133333333333334,0.05,0.2,0.45,0.0,0.0,NEUTRAL,1.0,0.0061423716065963346,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0047387765600893,-0.0047387765600893,0.0046123790212202,0.811976668900196
2025-09-26,0.0104411131533874,0.0032269282809002,0,LOW,0.12083333333333333,0.0625,0.25,0.45,0.0,0.0,NEUTRAL,1.0,0.00791614844801688,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0075280093723509,-0.0028325891918336,0.0046155178452682,0.8128592185016343
2025-09-25,0.0107210672459589,0.0032269282809002,0,LOW,0.12374976966001844,0.0625,0.25,0.5,0.0,0.0,NEUTRAL,1.0,0.008098118608188355,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0131815669018383,-0.0036021392602869,0.0047802909523933,0.8132034151959221
2025-09-24,0.0076956096070381,0.0032269282809002,0,LOW,0.11133333333333334,0.05,0.2,0.55,0.0,0.0,BULL,0.6,0.0036789426857339012,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0086078456536382,0.0056931120654211,0.0046355104563306,0.8139761899886635
2025-09-23,0.0057296575564851,0.0032269282809002,2,LOW,0.15183333333333332,0.0375,0.15,0.55,0.0,0.0,BULL,0.6,0.002912221386018231,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0054435205141353,0.0076496220669837,0.0045197456175409,0.814560175026403
2025-09-22,0.0056494028278072,0.0032269282809002,0,LOW,0.10183333333333333,0.0375,0.15,0.55,0.0,0.0,BULL,0.6,0.00288092204183385,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0117698284796952,0.0042423080653087,0.8152033352421408
2025-09-19,0.005650318137615,0.0032269282809002,0,LOW,0.10183333333333333,0.0375,0.15,0.5,0.0,0.0,BULL,0.6,0.002881279012658892,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0123669660590766,0.0044217349517371,0.8164018188670076
2025-09-18,0.0072531264860569,0.0032269282809002,0,LOW,0.11883333333333335,0.0625,0.2,0.4,0.0,0.05,BULL,0.6,0.0035063742685512325,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0070403097497331,0.0053559502706539,0.8175766815357354
2025-09-17,0.0069550381921234,0.0032269282809002,0,LOW,0.12633333333333335,0.075,0.2,0.35,0.0,0.1,BULL,0.6,0.0033901198339171676,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0026175401568387,0.0106868141150728,0.0054846833886567,0.8182873746357869
2025-09-16,0.009436187377249,0.0032269282809002,0,LOW,0.13583333333333333,0.0875,0.25,0.3,0.0,0.1,BULL,0.6,0.0043577680161161515,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0013768510142991,0.0148693965203554,0.0055327217067942,0.8185139562758327
2025-09-15,0.0094027784809462,0.0032269282809002,0,LOW,0.13583333333333333,0.0875,0.25,0.3,0.0,0.1,BULL,0.6,0.00434473854655806,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0186180297693203,0.0057171584148524,0.8188322211462645
2025-09-12,0.0095630564447543,0.0032269282809002,0,LOW,0.13583333333333333,0.0875,0.25,0.2499999999999999,0.0,0.1,BULL,0.6,0.004407246952443219,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0003347283459183,0.0157127743468856,0.0056491552768867,0.8189983627380382
2025-09-11,0.0095553445423127,0.0032269282809002,0,LOW,0.13583333333333333,0.0875,0.25,0.2499999999999999,0.0,0.1,BULL,0.6,0.004404239310490995,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.013110083737039,0.0056934277255078,0.8189584475554351
2025-09-10,0.0095539842090522,0.0032269282809002,0,LOW,0.13583333333333333,0.0875,0.25,0.2499999999999999,0.0,0.1,BULL,0.6,0.0044037087805194,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0131574781765573,0.0054275963506694,0.8187574473368744
2025-09-09,0.0095584104673708,0.0032269282809002,0,LOW,0.13583333333333333,0.0875,0.25,0.2499999999999999,0.0,0.1,BULL,0.6,0.004405435021263654,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0157120161037571,0.0054408230952297,0.8174737457504769
2025-09-08,0.0097512226986538,0.0032269282809002,0,LOW,0.13583333333333333,0.0875,0.25,0.1999999999999999,0.0,0.1,BULL,0.6,0.004480631791464024,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0004467337183338,0.0058600740429239,0.0058798625186529,0.8154754005181402
2025-09-05,0.009638495079745,0.0032269282809002,0,LOW,0.13583333333333333,0.0875,0.25,0.2499999999999999,0.0,0.1,NEUTRAL,1.0,0.007394446700149319,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0028962983893755,0.003395053533759,0.0059064467709795,0.8122325514378108
2025-09-04,0.0095646809629529,0.0032269282809002,0,LOW,0.13583333333333333,0.0875,0.25,0.2499999999999999,0.0,0.1,NEUTRAL,1.0,0.007346467524234455,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0003082883206213,0.0060368141485027,0.8108761529635665
