date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-11-20,0.0849292679832307,0.1363713503418059,2,LOW,0.5820320411156137,0.4374093769461853,0.3115734789838874,-0.4699108051967043,0.4446180941533932,0.4351869303168736,BEAR,1.5,0.15440099521309802,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0507135219405224,-0.0290309131781594,0.0089034422270838,0.8216644380634892
2025-11-19,0.0102685128663097,0.0690549092394093,2,LOW,0.2666255449412558,0.1306047583581053,0.1715430070675914,0.0665387593078129,0.0556445610525711,0.1840137647354362,BEAR,1.5,0.04626562739534183,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.036020250036134,-0.0303637448827702,0.0084181144027563,0.8228751266401119
2025-11-18,0.0157248862326285,0.0688756782064812,2,LOW,0.3910596141488575,0.230896170120041,0.178847147958164,0.0384543144361848,0.2872068767624325,0.3229092511230547,BEAR,1.5,0.051491495135215413,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0397299247120206,-0.0335577513669745,0.0084230142374408,0.8228469791851724
2025-11-17,0.0123237639977103,0.0597071767579259,2,LOW,0.2502313754637956,0.050193625684369,0.0659064893384559,0.4812277791532583,0.0,0.1348680133990201,BEAR,1.5,0.043361937695678636,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0315977792178959,-0.0231422175349583,0.0082318697071852,0.822741207035591
2025-11-14,0.0098299730189595,0.0499216406989347,0,LOW,0.15632096771162607,0.10749084383468,0.1273307994623709,0.2500144929022597,0.0974980724513019,0.2051345034250472,NEUTRAL,1.0,0.023862056706950817,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0224908377999606,0.0014308283057125,0.008286880737453,0.8222900866674437
2025-11-13,0.0108491511360914,0.0553760199141872,2,LOW,0.17282194958811092,0.0576947991749315,0.0892104074720864,0.4059335485945951,0.0,0.1415687892276398,NEUTRAL,1.0,0.026433555208424928,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0223308950373839,0.0025808212107338,0.008361221242228,0.8214612206341718
2025-11-12,0.0091181698623845,0.038395649812732,0,LOW,0.22656946280444715,0.2430306886270736,0.171019219088862,0.1020830618489933,0.3552371704024482,0.3642689165578119,BULL,0.6,0.011619172707003673,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0058336361945128,0.0085598536566504,0.0075293229328215,0.8203239456369068
2025-11-11,0.0177445459958832,0.0436027561501251,0,LOW,0.09684434732943675,0.039185023326839,0.0,0.8421936062497013,0.0,0.1567400933073562,BULL,0.6,0.016076951729920717,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0063864895742877,0.0114921865098511,0.0075570304781152,0.8189318519041973
2025-11-10,0.008238926218167,0.0475869582667693,0,LOW,0.2559439601009458,0.3005923869841254,0.2130020712790294,-0.0389790704606298,0.3859048116826615,0.4043134395909524,NEUTRAL,1.0,0.022010737435177806,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0086558778920718,-0.0027804707360785,0.0075802449883209,0.8175510681981373
2025-11-07,0.0207384884981195,0.0530149986445333,1,LOW,0.14992050526482154,0.0562893802747367,0.0639949153795434,0.5426949136528059,0.0,0.1611626057194037,BEAR,1.5,0.0480529005740465,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0238874872128165,-0.016259634311702,0.0075547513173516,0.8154230411711838
