date,vol20,hurst_100,drawdown_252,ret5d,external_event,is_trading_day
2018-07-26,0.004754500626956446,0.7993690157471871,0.002888667280814383,0.011928415303892104,0,1
2018-07-27,0.005166231946324388,0.7988089118759628,0.009645561815681769,0.006221548953055489,0,1
2018-07-30,0.005401421596286294,0.7985784708893311,0.014818159715874857,-0.0008919674958943746,0,1
2018-07-31,0.005318880191270339,0.7982736400160133,0.009962228090211078,-0.000994581121733007,0,1
2018-08-01,0.005363292411628466,0.7983528322562486,0.011616264906511131,-0.011091438148808086,0,1
2018-08-02,0.0052272858599019065,0.7982956075009489,0.006231490346474411,-0.003352507343933109,0,1
2018-08-03,0.00502193954446224,0.7990631950676103,0.0019734178902869326,0.007746866808070019,0,1
2018-08-06,0.0047344199043030605,0.8000450600539823,0.0,0.01675259444365218,0,1
2018-08-07,0.004727018445355634,0.8008789242179778,0.0,0.015107115013773598,0,1
2018-08-08,0.004306494998204194,0.8015067995115359,0.0004209238281545069,0.016377874954198735,0,1
2018-08-09,0.003965120595540604,0.8012090638833351,0.0017856846999589893,0.009490413062532399,0,1
2018-08-10,0.004325187704021885,0.8016800648961253,0.008474183538636715,-0.0015517648779107551,0,1
2018-08-13,0.004424275944203065,0.8014824457048915,0.012185720813446488,-0.008923340255459933,0,1
2018-08-14,0.004551695104075217,0.8011769315414831,0.00588296876879657,-0.00588296876879657,0,1
2018-08-15,0.0048786410421533845,0.8011952731314572,0.013306343463758918,-0.01289084569972443,0,1
2018-08-16,0.00509452397453953,0.8005701898054284,0.005322597414571972,-0.003543239823754485,0,1
2018-08-17,0.005110865313149764,0.7996804039853727,0.0018206816468805398,0.006710366771388587,0,1
2018-08-20,0.005113827864770898,0.7994858394311497,0.0,0.012655206291791288,0,1
2018-08-21,0.005036466545372307,0.7983513989865983,0.0,0.008594800403898706,0,1
2018-08-22,0.004706835202946956,0.7969965907944057,0.0005940275504972004,0.015579307353666083,0,1
2018-08-23,0.004680705676861625,0.7957744129407124,0.0019206810973094735,0.00609049079208468,0,1
2018-08-24,0.004513718442589479,0.7962743371496377,0.0,0.008594461984190005,0,1
2018-08-27,0.004502616298179506,0.7992009441101484,0.0,0.014387073141809648,0,1
2018-08-28,0.004446110252299764,0.8009276782844955,0.0,0.012502417989084247,0,1
